id,title,description,availability,condition,price,link,image_link,brand,product_type
19,The Her Time Set,"For the woman who never stops, a wine tumbler, a notebook for her thoughts, and a 1.2L tumbler to keep her going. All personalised, all hers.",in stock,new,750.00 ZAR,https://kadashgifts.co.za/#gift-19,https://kadashgifts.co.za/images/wine_tumbler.jpg,Kadash Gifts,Gift Boxes & Hampers > Mother's Day > For Her
20,Personalised Platter Board,"She hosts, she feeds, she gathers people together. A personalised platter board engraved with her name, for the woman who makes every table feel like home.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-20,https://kadashgifts.co.za/images/platter_board.jpg,Kadash Gifts,Love & Anniversary > Mother's Day > For Her > Home & Living
21,Personalised Wooden Cutting Board,"In her kitchen, everything is made with love. A personalised wooden cutting board engraved with her name, a daily reminder that she is appreciated.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-21,https://kadashgifts.co.za/images/wooden_cutting_board.jpg,Kadash Gifts,Love & Anniversary > Mother's Day > For Her > Home & Living
22,Personalised Sippy Cup,"Small gift, big feeling. A personalised bamboo-lid sippy cup carrying her name, because even the smallest things can say exactly the right thing. Dishwasher safe.",in stock,new,160.00 ZAR,https://kadashgifts.co.za/#gift-22,https://kadashgifts.co.za/images/sippy_cup.jpg,Kadash Gifts,Mother's Day > For Her
23,The Write Her Off Set,"A personalised notebook for her dreams and a tumbler for her mornings. For the woman who is always thinking, always planning, always doing.",in stock,new,400.00 ZAR,https://kadashgifts.co.za/#gift-23,https://kadashgifts.co.za/images/notebook_tumbler_set.jpg,Kadash Gifts,Mother's Day > For Her
24,The Memory Blanket,"Wrap her in every moment that matters. A personalised fleece blanket printed with photos, kids's drawings, or memories, 100x160cm of pure love.",in stock,new,350.00 ZAR,https://kadashgifts.co.za/#gift-24,https://kadashgifts.co.za/images/personalised_fleece_blanket.jpg,Kadash Gifts,Best Sellers > Love & Anniversary > Mother's Day > For Her > Home & Living
25,The Sweet Treat Set,"A personalised sippy cup, a tote bag she'll actually use, and 8-piece chocolates to make her smile. Everything she deserves, nothing she expected.",in stock,new,340.00 ZAR,https://kadashgifts.co.za/#gift-25,https://kadashgifts.co.za/images/tote_bag_sippy-cup_set.jpg,Kadash Gifts,Mother's Day > For Her
26,The Rest Well Set,"Tell her to put her feet up, literally. Personalised slippers, a mug made for her, and Ferrero Rocher chocolates. For the woman who has earned every second of rest.",in stock,new,450.00 ZAR,https://kadashgifts.co.za/#gift-26,https://kadashgifts.co.za/images/personalised_slipper_set_1.jpg,Kadash Gifts,Best Sellers > Gift Boxes & Hampers > Mother's Day > For Her
27,The Full Bouquet Experience,"Fresh flowers, a personalised sippy cup, latte sachets, non-alcoholic champagne, dark chocolate, and a keyring. When you want her to feel everything at once.",in stock,new,1050.00 ZAR,https://kadashgifts.co.za/#gift-27,https://kadashgifts.co.za/images/flowers-sippy-cup_set.jpg,Kadash Gifts,Gift Boxes & Hampers > Mother's Day > For Her
28,The Celebration Board,"A personalised charcuterie board loaded with assorted cheese, crackers, Ferrero Rocher, and nuts. For the woman worth celebrating properly.",in stock,new,700.00 ZAR,https://kadashgifts.co.za/#gift-28,https://kadashgifts.co.za/images/personalised_charcuterie_board.jpg,Kadash Gifts,Mother's Day > For Her
29,The Treat Yourself Set,"A personalised notebook, tumbler, mug, sweets, and chocolates, all in one gift. Because sometimes the best gift is everything she wouldn't buy for herself.",in stock,new,650.00 ZAR,https://kadashgifts.co.za/#gift-29,https://kadashgifts.co.za/images/notebook_tumbler_chocolate_set.jpg,Kadash Gifts,Gift Boxes & Hampers > Mother's Day > For Her
30,The Cosy Corner Set,"A personalised cushion and mug, wrapped in a gift bag and ready to make her feel at home. For the woman who deserves her own little corner of comfort.",in stock,new,330.00 ZAR,https://kadashgifts.co.za/#gift-30,https://kadashgifts.co.za/images/cushion_mug_set.jpg,Kadash Gifts,For Her
31,The Boss Her Set,"Planner, notebook, bamboo sippy cup, door hanger, mat, and pencil case, all personalised. For the woman who runs everything and deserves to look good doing it.",in stock,new,600.00 ZAR,https://kadashgifts.co.za/#gift-31,https://kadashgifts.co.za/images/organiser_set.jpg,Kadash Gifts,Gift Boxes & Hampers > Mother's Day > For Her
32,The Gift Box She'll Actually Love,"A personalised notebook and tumbler paired with sweets and chocolates, boxed and ready to give. No overthinking, just everything she loves in one place.",in stock,new,550.00 ZAR,https://kadashgifts.co.za/#gift-32,https://kadashgifts.co.za/images/notebook_tumbler_sweet_choc_gift_box.jpg,Kadash Gifts,Gift Boxes & Hampers > Mother's Day > For Her
33,The Soft Life Set,A personalised cushion and notebook set in a gift bag. For the woman who carries everyone else's world and deserves something made entirely for hers.,in stock,new,450.00 ZAR,https://kadashgifts.co.za/#gift-33,https://kadashgifts.co.za/images/cushion_notebook_set.jpg,Kadash Gifts,Mother's Day > For Her
34,The Bold & Blessed Set,"For the woman who shines without apology. A sequin notebook and 1.2L tumbler in a gift bag, because her faith is loud, her vision is clear, and she was never meant to blend in.",in stock,new,680.00 ZAR,https://kadashgifts.co.za/#gift-34,https://kadashgifts.co.za/images/sequin_notebook.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts > Mother's Day > For Her
35,The Curated Welcome,"Because first impressions are everything. A fully branded corporate basket, personalised mousepad, notebook, tumbler, sweet treats, chocolate, and lotion. The kind of gift that says your company pays attention.",in stock,new,880.00 ZAR,https://kadashgifts.co.za/#gift-35,https://kadashgifts.co.za/images/aesthetic_basket_1.jpg,Kadash Gifts,Best Sellers > Corporate & Events
36,The Intentional Desk,"For the person who builds their day with purpose. A branded mousepad, diary, notebook, and tumbler, everything they reach for every morning, carrying your company's name.",in stock,new,850.00 ZAR,https://kadashgifts.co.za/#gift-36,https://kadashgifts.co.za/images/the_organised_set_1.jpg,Kadash Gifts,Corporate & Events
37,The Branded Tumbler,"They carry it everywhere, to meetings, to the gym, through long days. A 1.2L tumbler branded with your company logo. Useful enough to use daily. Quality enough to mean something. Dishwasher safe.",in stock,new,450.00 ZAR,https://kadashgifts.co.za/#gift-37,https://kadashgifts.co.za/images/company_tubler_1.jpg,Kadash Gifts,Corporate & Events
38,The Boardroom Mug,"Simple. Sharp. Unmistakably yours. A branded corporate mug presented in a matching gift box, the kind of detail that makes your company look like it cares, because it does. Dishwasher safe.",in stock,new,120.00 ZAR,https://kadashgifts.co.za/#gift-38,https://kadashgifts.co.za/images/corporate_mug_1.jpg,Kadash Gifts,Corporate & Events
39,The Beauty Edit,"For the woman on your team who holds everything together. A branded tumbler, compact mirror, makeup bag, notebook, and lotion, a corporate gift that finally feels personal.",in stock,new,800.00 ZAR,https://kadashgifts.co.za/#gift-39,https://kadashgifts.co.za/images/beauty_set_1.jpg,Kadash Gifts,Corporate & Events
40,The Signature Pour,"Your logo on the glass they raise at the end of a hard week. A single branded wine tumbler, understated, elegant, and entirely on brand. The kind of gift that gets noticed without trying.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-40,https://kadashgifts.co.za/images/corporate_wine_tumblers.jpg,Kadash Gifts,Corporate & Events
41,The Men's Appreciation Box,"For the man who shows up every day and rarely hears thank you. A branded notebook, tumbler, chocolates, and sweets, packaged to say what words often don't. Recognition, done properly.",in stock,new,550.00 ZAR,https://kadashgifts.co.za/#gift-41,https://kadashgifts.co.za/images/mens_appreciation_gift.jpg,Kadash Gifts,Gift Boxes & Hampers > Corporate & Events
42,The Glamour Desk Set,"She brings beauty to everything she touches, her workspace should be no different. A branded tumbler, sequin mousepad, makeup bag, and notebook. For the woman who works hard and looks good doing it.",in stock,new,780.00 ZAR,https://kadashgifts.co.za/#gift-42,https://kadashgifts.co.za/images/glamour_set_tumbler.jpg,Kadash Gifts,Gift Boxes & Hampers > For Her > Corporate & Events
43,The Executive Lunch Set,"Everything he needs, monogrammed and ready. A personalised lunch bag, leather notebook, tumbler, stylus pen, and power bank, built for the executive who moves fast and never compromises on detail.",in stock,new,750.00 ZAR,https://kadashgifts.co.za/#gift-43,https://kadashgifts.co.za/images/lunch_deluxe_set_1.jpg,Kadash Gifts,Gift Boxes & Hampers > Corporate & Events
44,The Two-Tone Mug,"The mug on every desk that starts every conversation. A personalised two-tone mug with matching spoon, branded with a name or logo, and impossible to mistake for anyone else's. Dishwasher safe.",in stock,new,130.00 ZAR,https://kadashgifts.co.za/#gift-44,https://kadashgifts.co.za/images/two_toned_mug_1.jpg,Kadash Gifts,Corporate & Events
45,The Welcome Romper,"Their name. Their arrival. Their first piece of something made just for them. A personalised long-sleeve baby romper, soft, warm, and ready to welcome the newest person in your world.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-45,https://kadashgifts.co.za/images/baby_romper_long_sleeve.jpg,Kadash Gifts,New Baby
46,The Little One Set,"A short-sleeve romper and matching hat, both personalised with baby's name. The kind of gift that gets kept long after they've grown out of it, because it was made for them before they even knew who they were.",in stock,new,230.00 ZAR,https://kadashgifts.co.za/#gift-46,https://kadashgifts.co.za/images/baby_romper_hat_set.jpg,Kadash Gifts,New Baby
47,The Wrap Them In Love Blanket,"Soft, personalised, and made to be held close. A fleece or receiving blanket printed with baby's name, for every feed, every nap, and every moment that deserves to feel like home.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-47,https://kadashgifts.co.za/images/baby_fleece_receiving_blankets_1.jpg,Kadash Gifts,New Baby
48,The First Hello Romper,"Simple, soft, and entirely theirs. A personalised baby romper carrying their name from day one, because even the smallest person deserves something made just for them.",in stock,new,130.00 ZAR,https://kadashgifts.co.za/#gift-48,https://kadashgifts.co.za/images/baby_romper.jpg,Kadash Gifts,New Baby
49,The First Sip Cup,"Their name on the cup they reach for first. A 320ml stainless steel baby feeding cup, sublimation-printed and built to last, because even the smallest details of their earliest days deserve to be made just for them. Dishwasher safe.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-49,https://kadashgifts.co.za/images/baby_feeding_cup_1.jpg,Kadash Gifts,New Baby
50,The Little Explorer Pack,"Their name on their back before they even know where they're going. A personalised kiddies backpack, for the little one who is already on an adventure.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-50,https://kadashgifts.co.za/images/kiddies_backpack_1.jpg,Kadash Gifts,New Baby
51,The Gentle Touch Cloth,"Soft on their skin, personal from day one. Personalised burp cloths carrying baby's name, for every tender moment in those early weeks that go by far too fast.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-51,https://kadashgifts.co.za/images/burp_cloths.jpg,Kadash Gifts,New Baby
52,The Full Arrival Gift,"For the family who just changed forever. A teddy, burp cloth, blanket, dummy, feeding cup, beanie, and baby grow, every piece personalised, everything they need for the first days of the rest of their lives.",in stock,new,1150.00 ZAR,https://kadashgifts.co.za/#gift-52,https://kadashgifts.co.za/images/teddy_burp_1.jpg,Kadash Gifts,Best Sellers > New Baby
53,The Adventure Starts Here Set,"A teddy with a personalised top, a personalised blanket, feeding cup, and backpack, because from the very first day, they are going somewhere. Help them arrive in style.",in stock,new,1080.00 ZAR,https://kadashgifts.co.za/#gift-53,https://kadashgifts.co.za/images/teddy_backpack_set.jpg,Kadash Gifts,Gift Boxes & Hampers > New Baby
54,The Welcome To The World Set,"A personalised baby grow, beanie, teddy, dummy, feeding cup, and blanket, everything waiting for them the moment they arrive. The gift that says we were ready for you, and we made it just for you.",in stock,new,1050.00 ZAR,https://kadashgifts.co.za/#gift-54,https://kadashgifts.co.za/images/baby_grow_set_1.jpg,Kadash Gifts,Gift Boxes & Hampers > New Baby
55,Personalised Baby Cushion,"Their name, softly printed, on something that holds them close. A personalised baby cushion, a small comfort that becomes a lasting keepsake.",in stock,new,160.00 ZAR,https://kadashgifts.co.za/#gift-55,https://kadashgifts.co.za/images/baby_cushion_1.jpg,Kadash Gifts,New Baby
56,The Tiny Traveller Set,"A personalised backpack, teddy, blanket, and feeding cup, for the little one who hasn't gone anywhere yet but is already going everywhere. The complete set for their very first chapter.",in stock,new,980.00 ZAR,https://kadashgifts.co.za/#gift-56,https://kadashgifts.co.za/images/backpack_teddy_1.jpg,Kadash Gifts,Gift Boxes & Hampers > New Baby
57,The Welcomed With Love Basket,"Baby lotion, powder, and wash. A personalised outfit with vest, a personalised basket, dummy, and feeding cup, a full welcome, wrapped in care. For the baby who is already so loved, and the parents who want to show it.",in stock,new,850.00 ZAR,https://kadashgifts.co.za/#gift-57,https://kadashgifts.co.za/images/baby_lotion_powder_set.jpg,Kadash Gifts,Gift Boxes & Hampers > New Baby
58,The Comfort Keeper,"The thing that quiets the world for them. A personalised dummy: small, soft, and carrying their name before they can even say it.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-58,https://kadashgifts.co.za/images/baby_dummy_1.jpg,Kadash Gifts,New Baby
59,The Daily Essentials Set,"The things they reach for every single day: a personalised feeding cup, vest, blanket, and dummy. Simple gifts that become the rhythm of their earliest life.",in stock,new,650.00 ZAR,https://kadashgifts.co.za/#gift-59,https://kadashgifts.co.za/images/feeding_cup_vest_set_1.jpg,Kadash Gifts,Gift Boxes & Hampers > New Baby
60,The Grand Welcome Basket,"Everything they could need, all in one place. A personalised basket with hat, blanket, burp cloth, feeding cup, vest, and teddy. The kind of gift that makes a family feel truly celebrated.",in stock,new,1100.00 ZAR,https://kadashgifts.co.za/#gift-60,https://kadashgifts.co.za/images/basket_hat_blanket_1.jpg,Kadash Gifts,Gift Boxes & Hampers > New Baby
61,The Soothe & Nourish Set,"Two of the most-reached-for things in a new baby's world: a personalised feeding cup and a personalised dummy. Practical, personal, and impossible to mix up with anyone else's.",in stock,new,320.00 ZAR,https://kadashgifts.co.za/#gift-61,https://kadashgifts.co.za/images/feed_cup_dummy.jpg,Kadash Gifts,New Baby
62,The Held Close Set,"A blanket, feeding cup, cushion, burp cloth, teddy, and romper, all personalised. For every moment they are held, fed, and wrapped in love. The gift for the family in the thick of the beautiful, exhausting beginning.",in stock,new,950.00 ZAR,https://kadashgifts.co.za/#gift-62,https://kadashgifts.co.za/images/cushion_burp_cloth_set_1.jpg,Kadash Gifts,Gift Boxes & Hampers > New Baby
63,The Adventure Bottle,"Their name on the bottle they carry everywhere. A 400ml stainless steel kids bottle, built for school bags, sports days, and every adventure in between. Dishwasher safe.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-63,https://kadashgifts.co.za/images/kids_stainless_steel_bottle_1.jpg,Kadash Gifts,For Kids > Mugs & Bottles
64,The Ready For Anything Set,"A personalised backpack and matching bottle, because every big day starts with having everything you need. Made for the little one who is always on the go.",in stock,new,430.00 ZAR,https://kadashgifts.co.za/#gift-64,https://kadashgifts.co.za/images/kids_backpack_bottle_set_1.jpg,Kadash Gifts,For Kids
66,The Lunchtime Set,"Lunchtime just got personal. A personalised kids lunch box and matching bottle, because the things they use every day should feel like they were made just for them. Because they were.",in stock,new,350.00 ZAR,https://kadashgifts.co.za/#gift-66,https://kadashgifts.co.za/images/lunch_box_and_bottle.jpg,Kadash Gifts,Best Sellers > For Kids
67,The Carry It Proud Bag,"Their name on the bag they carry into school every single day. A personalised kids school bag, big enough for everything they need, made to feel like theirs.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-67,https://kadashgifts.co.za/images/kids_bag.jpg,Kadash Gifts,For Kids
68,The Full Pack Set,"A personalised backpack, puzzle, bottle, and gift bag: everything a child needs, wrapped up and ready to give. For the kid who deserves a gift that actually gets used.",in stock,new,600.00 ZAR,https://kadashgifts.co.za/#gift-68,https://kadashgifts.co.za/images/kids_backpack_puzzle_bottle.jpg,Kadash Gifts,Gift Boxes & Hampers > For Kids
69,The Complete Lunchtime Kit,"Lunch bag, bottle, and lunchbox, all personalised, all in one. For the child who deserves to open their bag and find something made just for them, every single day.",in stock,new,530.00 ZAR,https://kadashgifts.co.za/#gift-69,https://kadashgifts.co.za/images/lunch_bag.jpg,Kadash Gifts,Gift Boxes & Hampers > For Kids
71,The 40oz Tumbler,"A 1.2L personalised tumbler that keeps up with the day. Sublimation-printed so the design won't peel or fade, their name, their colour, their cup, from the desk to the drive home. Dishwasher safe.",in stock,new,400.00 ZAR,https://kadashgifts.co.za/#gift-71,https://kadashgifts.co.za/images/40oz_tumbler.jpg,Kadash Gifts,Best Sellers > For Kids > Mugs & Bottles
72,The Two-Tone Explorer,"Two colours, one name, zero excuses for losing it. A personalised two-tone stainless steel bottle, the one they'll actually want to carry.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-72,https://kadashgifts.co.za/images/kids_two_toned_bottle.jpg,Kadash Gifts,For Kids > Mugs & Bottles
73,The Healing Basket,"When words aren't enough, send this. A wooden basket filled with a tumbler, teddy, ginger tea, honey, Ferrero Rocher, nuts, fruit bits, a plant, devotional book, candle, and a card: everything they need to feel held, loved, and on the mend.",in stock,new,1200.00 ZAR,https://kadashgifts.co.za/#gift-73,https://kadashgifts.co.za/images/teddy_ginger_tea_set.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts > Get Well Soon
74,The Rest & Restore Set,"Tell them to stop, rest, and let their body do its work. A personalised gown and slippers paired with bath salts, body wash, body scrub, body butter, a candle, and a card. The gift that says slow down, we've got you.",in stock,new,1200.00 ZAR,https://kadashgifts.co.za/#gift-74,https://kadashgifts.co.za/images/gown_slipper_sick.jpg,Kadash Gifts,Gift Boxes & Hampers > Get Well Soon
75,The On The Mend Kit,"Practical, personal, and full of care. A head rest, tumbler, five fruit and energy bars, toiletry bag, body lotion, nougat, and a card, because getting better is easier when someone thought of everything.",in stock,new,950.00 ZAR,https://kadashgifts.co.za/#gift-75,https://kadashgifts.co.za/images/head_rest_tubler.jpg,Kadash Gifts,Gift Boxes & Hampers > Get Well Soon
76,The Wooden Handle Mug,"Warm hands, warm heart. A personalised mug with a natural wooden handle, the kind of cup that makes every morning feel a little more intentional. Dishwasher safe.",in stock,new,130.00 ZAR,https://kadashgifts.co.za/#gift-76,https://kadashgifts.co.za/images/mug_wooden_handle.jpg,Kadash Gifts,Mugs & Bottles
77,The Classic Mug,"Clean, classic, and entirely theirs. A personalised white mug, the one they reach for first, every single morning. Dishwasher safe.",in stock,new,100.00 ZAR,https://kadashgifts.co.za/#gift-77,https://kadashgifts.co.za/images/plain_white_mug.jpg,Kadash Gifts,Best Sellers > Mugs & Bottles
78,The Black Frame Mug,"Bold framing, personal touch. A personalised black frame mug that turns an everyday cup into a statement, presented in a gift box for the full experience. Dishwasher safe.",in stock,new,130.00 ZAR,https://kadashgifts.co.za/#gift-78,https://kadashgifts.co.za/images/black_frame_mug.jpg,Kadash Gifts,Mugs & Bottles
79,The Spoon & Sip Mug,"The matching set they didn't know they needed. A personalised mug with matching spoon, available in Green, Red, Navy, Blue, Yellow, Pink, Orange, and Purple. The perfect finishing touch for any desk or kitchen. Dishwasher safe.",in stock,new,120.00 ZAR,https://kadashgifts.co.za/#gift-79,https://kadashgifts.co.za/images/mug_with_spoon.jpg,Kadash Gifts,Mugs & Bottles
80,The Two-Tone Mug,"Two colours, one name, zero chance of being mistaken for someone else's. A personalised two-tone mug available in Green, Red, Navy, Blue, Yellow, Pink, Orange, and Purple. Dishwasher safe.",in stock,new,110.00 ZAR,https://kadashgifts.co.za/#gift-80,https://kadashgifts.co.za/images/two-toned-mug.jpg,Kadash Gifts,Mugs & Bottles
81,The Frosted Mug,"Soft finish, strong impression. A personalised frosted mug in Pink, Green, Yellow, Red, or Blue. The kind of gift that looks as good on the shelf as it does in their hands. Dishwasher safe.",in stock,new,110.00 ZAR,https://kadashgifts.co.za/#gift-81,https://kadashgifts.co.za/images/frosted_mug.jpg,Kadash Gifts,Best Sellers > Mugs & Bottles
82,The Cappuccino Mug,"The mug that belongs in a meeting room and a kitchen table. A personalised cappuccino-style mug. Branded or gifted, it always looks the part. Dishwasher safe.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-82,https://kadashgifts.co.za/images/corp_cuppacino_1.jpg,Kadash Gifts,Mugs & Bottles
83,The Daily Carry,"A branded lunch bag they actually reach for, to the office, to site, to wherever the day takes them. Your logo, carried every single day.",in stock,new,130.00 ZAR,https://kadashgifts.co.za/#gift-83,https://kadashgifts.co.za/images/corporate_lunch_bag.jpg,Kadash Gifts,Corporate & Events
84,The Keyring They Keep,"Small, branded, and impossible to misplace. A lightweight polymer keyring that resists cracking, scratching, and fading, your company's name in their pocket and in their hand, every time they reach for their keys.",in stock,new,100.00 ZAR,https://kadashgifts.co.za/#gift-84,https://kadashgifts.co.za/images/corporate_key_ring.jpg,Kadash Gifts,Corporate & Events
85,The Signature Pen,"The pen that ends up in every meeting and on every signature. Branded with your logo, understated, useful, and always within reach.",in stock,new,80.00 ZAR,https://kadashgifts.co.za/#gift-85,https://kadashgifts.co.za/images/branded_pen.jpg,Kadash Gifts,Corporate & Events
86,The Carry-All Case,"Branded and built to hold the everyday essentials. The kind of detail that makes your company look like it pays attention, because it does.",in stock,new,130.00 ZAR,https://kadashgifts.co.za/#gift-86,https://kadashgifts.co.za/images/branded_pencil_case.jpg,Kadash Gifts,Corporate & Events
87,The Blank Page,"Every good idea starts on a blank page. A branded notebook for the meetings, the plans, and the thinking that moves work forward, your logo on every one.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-87,https://kadashgifts.co.za/images/branded_note_book.jpg,Kadash Gifts,Corporate & Events
88,The Desk Mark,"Branded and built to sit front and centre on their desk. A small daily reminder of who they work with, keeping their pens in place and your name in view.",in stock,new,90.00 ZAR,https://kadashgifts.co.za/#gift-88,https://kadashgifts.co.za/images/branded_pen_holder.jpg,Kadash Gifts,Corporate & Events
89,The Sports Day Bottle,"For the kid who never sits still. A personalised sports bottle built for practice, matches, and everything in between. Their name on every sip. Dishwasher safe.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-89,https://kadashgifts.co.za/images/kids_sports_bottle.jpg,Kadash Gifts,For Kids > Mugs & Bottles
90,The Little Scholar Set,"Back-to-school, sorted. A personalised pencil case and matching pen, their name on the desk essentials they'll reach for every day.",in stock,new,180.00 ZAR,https://kadashgifts.co.za/#gift-90,https://kadashgifts.co.za/images/pencil_case_pen.jpg,Kadash Gifts,For Kids
91,The Little Essentials Set,"The little things that make them feel special. Personalised socks and a matching bottle, wrapped in a gift bag and ready to give.",in stock,new,400.00 ZAR,https://kadashgifts.co.za/#gift-91,https://kadashgifts.co.za/images/socks_bottle_gift_bag.jpg,Kadash Gifts,For Kids
92,The Grab & Go Gift Bag,"A personalised tumbler wrapped and ready to gift. Their name, their colour, packed in a gift bag. Thoughtful, done, sorted.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-92,https://kadashgifts.co.za/images/tumbler_gift_bag.jpg,Kadash Gifts,For Kids
